empid,designation,courseid,course_name,duration_weeks,difficulty_level,completion_rate,learning_path
EMP176,SDE1,COURSE022,Web Design,3,Advanced,85.32,Data Science
EMP134,HR,COURSE014,Full Stack Development,1,Advanced,87.01,Web Development
EMP085,SDE1,COURSE048,Network Security,5,Advanced,45.23,Machine Learning
EMP456,SDE1,COURSE037,Quality Assurance,4,Intermediate,73.89,Cybersecurity
EMP499,Lead,COURSE014,Full Stack Development,1,Advanced,96.95,Web Development
EMP369,SDE1,COURSE011,Python for Data Science,6,Advanced,32.65,Machine Learning
EMP245,Lead,COURSE038,Cloud Basics,2,Advanced,24.76,Machine Learning
EMP182,SDE2,COURSE033,DevOps Fundamentals,4,Intermediate,7.43,Machine Learning
EMP492,HR,COURSE033,DevOps Fundamentals,4,Intermediate,97.7,Machine Learning
EMP182,SDE2,COURSE024,Software Engineering,6,Beginner,8.71,Machine Learning
EMP393,QA,COURSE038,Cloud Basics,2,Advanced,92.84,Machine Learning
EMP295,HR,COURSE018,Blockchain Basics,6,Advanced,0.92,Machine Learning
EMP166,SDE1,COURSE033,DevOps Fundamentals,4,Intermediate,52.3,Machine Learning
EMP269,Manager,COURSE021,ITIL Foundation,3,Intermediate,80.28,Cloud Computing
EMP183,SDE2,COURSE017,Digital Marketing,5,Beginner,56.56,Machine Learning
EMP030,Lead,COURSE008,Remote Work Skills,4,Intermediate,67.97,Data Science
EMP411,Designer,COURSE048,Network Security,5,Advanced,62.36,Machine Learning
EMP284,QA,COURSE045,Creative Thinking,5,Intermediate,31.52,Machine Learning
EMP339,DevOps,COURSE028,API Development,4,Intermediate,61.24,Machine Learning
EMP137,Lead,COURSE049,Data Science with R,1,Advanced,35.58,Cybersecurity
EMP469,Designer,COURSE027,Deep Learning,6,Beginner,80.54,Web Development
EMP465,DevOps,COURSE041,Backend Development,4,Advanced,4.24,Data Science
EMP075,Manager,COURSE007,Deep Learning,2,Intermediate,53.38,Data Science
EMP218,Designer,COURSE006,Web Development with React,6,Advanced,44.68,Cloud Computing
EMP427,DevOps,COURSE043,Agile Methodologies,3,Advanced,22.46,Cybersecurity
EMP158,Lead,COURSE049,Data Science with R,1,Advanced,94.9,Cybersecurity
EMP256,Lead,COURSE033,DevOps Fundamentals,4,Intermediate,50.75,Machine Learning
EMP469,Designer,COURSE030,Cloud Basics,3,Advanced,48.22,Data Science
EMP173,SDE1,COURSE028,API Development,4,Intermediate,27.13,Machine Learning
EMP372,DevOps,COURSE026,Digital Marketing,2,Intermediate,19.7,Web Development
EMP295,HR,COURSE034,UI/UX Design,1,Advanced,45.35,Web Development
EMP018,Manager,COURSE039,Public Speaking,6,Advanced,69.74,Data Science
EMP226,Lead,COURSE047,Data Structures,1,Advanced,43.73,Web Development
EMP170,SDE2,COURSE045,Creative Thinking,5,Intermediate,49.98,Machine Learning
EMP451,Designer,COURSE033,DevOps Fundamentals,4,Intermediate,40.21,Machine Learning
EMP222,Lead,COURSE016,Backend Development,6,Intermediate,62.64,Data Science
EMP432,Manager,COURSE008,Remote Work Skills,4,Intermediate,44.44,Data Science
EMP109,Designer,COURSE034,UI/UX Design,1,Advanced,74.55,Web Development
EMP100,QA,COURSE020,UI/UX Design,5,Advanced,96.19,Web Development
EMP113,SDE2,COURSE004,Network Security,5,Beginner,36.15,Data Science
EMP083,SDE1,COURSE050,E-commerce Development,2,Intermediate,73.01,Cloud Computing
EMP228,HR,COURSE040,Artificial Intelligence,5,Advanced,69.95,Cybersecurity
EMP121,SDE2,COURSE047,Data Structures,1,Advanced,66.43,Web Development
EMP463,QA,COURSE038,Cloud Basics,2,Advanced,74.52,Machine Learning
EMP115,HR,COURSE029,Data Analysis with Python,5,Advanced,3.17,Data Science
EMP099,HR,COURSE004,Network Security,5,Beginner,18.39,Data Science
EMP423,Designer,COURSE002,Database Management,2,Beginner,28.51,Cloud Computing
EMP339,DevOps,COURSE009,Networking Essentials,1,Intermediate,60.7,Cloud Computing
EMP004,Lead,COURSE019,Project Management,1,Advanced,82.32,Cloud Computing
EMP393,QA,COURSE006,Web Development with React,6,Advanced,89.9,Cloud Computing
EMP187,DevOps,COURSE013,Scrum Master Certification,6,Beginner,99.08,Machine Learning
EMP096,SDE1,COURSE044,Business Analytics,3,Advanced,60.47,Cybersecurity
EMP330,DevOps,COURSE012,Responsive Web Design,3,Beginner,50.48,Machine Learning
EMP288,QA,COURSE001,Technical Writing,6,Advanced,32.84,Data Science
EMP428,DevOps,COURSE003,ITIL Foundation,5,Intermediate,30.62,Cloud Computing
EMP001,Lead,COURSE032,ITIL Foundation,4,Beginner,66.85,Data Science
EMP251,Manager,COURSE002,Database Management,2,Beginner,71.48,Cloud Computing
EMP059,Manager,COURSE011,Python for Data Science,6,Advanced,45.04,Machine Learning
EMP083,SDE1,COURSE030,Cloud Basics,3,Advanced,15.26,Data Science
EMP146,Lead,COURSE020,UI/UX Design,5,Advanced,80.79,Web Development
EMP405,SDE1,COURSE018,Blockchain Basics,6,Advanced,83.96,Machine Learning
EMP458,Lead,COURSE019,Project Management,1,Advanced,34.17,Cloud Computing
EMP033,Designer,COURSE025,Time Management,5,Advanced,85.63,Web Development
EMP314,DevOps,COURSE022,Web Design,3,Advanced,79.63,Data Science
EMP449,SDE1,COURSE007,Deep Learning,2,Intermediate,15.42,Data Science
EMP217,Manager,COURSE024,Software Engineering,6,Beginner,11.34,Machine Learning
EMP178,DevOps,COURSE049,Data Science with R,1,Advanced,62.87,Cybersecurity
EMP147,HR,COURSE012,Responsive Web Design,3,Beginner,67.25,Machine Learning
EMP199,SDE1,COURSE050,E-commerce Development,2,Intermediate,11.81,Cloud Computing
EMP391,SDE2,COURSE004,Network Security,5,Beginner,52.82,Data Science
EMP067,Designer,COURSE022,Web Design,3,Advanced,31.64,Data Science
EMP186,DevOps,COURSE030,Cloud Basics,3,Advanced,22.82,Data Science
EMP313,HR,COURSE010,Data Visualization,6,Advanced,30.39,Web Development
EMP013,HR,COURSE045,Creative Thinking,5,Intermediate,96.12,Machine Learning
EMP484,HR,COURSE032,ITIL Foundation,4,Beginner,11.73,Data Science
EMP472,HR,COURSE036,Public Speaking,2,Advanced,51.45,Web Development
EMP468,Designer,COURSE010,Data Visualization,6,Advanced,83.13,Web Development
EMP138,DevOps,COURSE044,Business Analytics,3,Advanced,15.45,Cybersecurity
EMP126,Manager,COURSE048,Network Security,5,Advanced,74.95,Machine Learning
EMP254,SDE2,COURSE009,Networking Essentials,1,Intermediate,66.85,Cloud Computing
EMP229,DevOps,COURSE018,Blockchain Basics,6,Advanced,56.75,Machine Learning
EMP075,Manager,COURSE024,Software Engineering,6,Beginner,80.47,Machine Learning
EMP266,Designer,COURSE045,Creative Thinking,5,Intermediate,48.88,Machine Learning
EMP479,QA,COURSE046,Virtualization Technologies,4,Beginner,15.85,Machine Learning
EMP215,SDE2,COURSE002,Database Management,2,Beginner,84.51,Cloud Computing
EMP262,Designer,COURSE045,Creative Thinking,5,Intermediate,87.13,Machine Learning
EMP470,SDE1,COURSE003,ITIL Foundation,5,Intermediate,43.86,Cloud Computing
EMP301,SDE2,COURSE021,ITIL Foundation,3,Intermediate,27.3,Cloud Computing
EMP066,QA,COURSE023,Machine Learning Basics,4,Beginner,71.2,Cybersecurity
EMP199,SDE1,COURSE030,Cloud Basics,3,Advanced,72.54,Data Science
EMP105,HR,COURSE013,Scrum Master Certification,6,Beginner,43.91,Machine Learning
EMP084,SDE1,COURSE017,Digital Marketing,5,Beginner,95.1,Machine Learning
EMP448,Lead,COURSE031,Mobile App Development,5,Advanced,13.38,Cloud Computing
EMP322,HR,COURSE038,Cloud Basics,2,Advanced,86.28,Machine Learning
EMP355,SDE2,COURSE032,ITIL Foundation,4,Beginner,32.33,Data Science
EMP239,Manager,COURSE024,Software Engineering,6,Beginner,37.86,Machine Learning
EMP389,SDE1,COURSE004,Network Security,5,Beginner,43.63,Data Science
EMP232,HR,COURSE017,Digital Marketing,5,Beginner,47.93,Machine Learning
EMP057,Manager,COURSE042,E-commerce Development,6,Beginner,42.57,Cybersecurity
EMP320,Lead,COURSE033,DevOps Fundamentals,4,Intermediate,12.81,Machine Learning
EMP288,QA,COURSE041,Backend Development,4,Advanced,17.02,Data Science
EMP200,QA,COURSE047,Data Structures,1,Advanced,88.85,Web Development
EMP172,Designer,COURSE004,Network Security,5,Beginner,17.64,Data Science
EMP497,Manager,COURSE016,Backend Development,6,Intermediate,8.62,Data Science
EMP060,Designer,COURSE006,Web Development with React,6,Advanced,91.45,Cloud Computing
EMP343,SDE2,COURSE017,Digital Marketing,5,Beginner,27.98,Machine Learning
EMP161,HR,COURSE038,Cloud Basics,2,Advanced,9.22,Machine Learning
EMP330,DevOps,COURSE034,UI/UX Design,1,Advanced,89.85,Web Development
EMP485,DevOps,COURSE004,Network Security,5,Beginner,12.51,Data Science
EMP097,QA,COURSE007,Deep Learning,2,Intermediate,48.07,Data Science
EMP046,Manager,COURSE006,Web Development with React,6,Advanced,25.96,Cloud Computing
EMP139,QA,COURSE027,Deep Learning,6,Beginner,32.74,Web Development
EMP218,Designer,COURSE043,Agile Methodologies,3,Advanced,87.76,Cybersecurity
EMP077,SDE2,COURSE042,E-commerce Development,6,Beginner,50.44,Cybersecurity
EMP171,DevOps,COURSE024,Software Engineering,6,Beginner,85.66,Machine Learning
EMP287,SDE2,COURSE029,Data Analysis with Python,5,Advanced,16.25,Data Science
EMP457,Designer,COURSE036,Public Speaking,2,Advanced,33.19,Web Development
EMP352,HR,COURSE038,Cloud Basics,2,Advanced,50.77,Machine Learning
EMP089,SDE1,COURSE032,ITIL Foundation,4,Beginner,37.1,Data Science
EMP247,DevOps,COURSE003,ITIL Foundation,5,Intermediate,56.61,Cloud Computing
EMP174,SDE1,COURSE027,Deep Learning,6,Beginner,76.87,Web Development
EMP181,SDE1,COURSE031,Mobile App Development,5,Advanced,42.66,Cloud Computing
EMP226,Lead,COURSE014,Full Stack Development,1,Advanced,35.75,Web Development
EMP399,DevOps,COURSE002,Database Management,2,Beginner,89.54,Cloud Computing
EMP270,SDE2,COURSE018,Blockchain Basics,6,Advanced,93.38,Machine Learning
EMP172,Designer,COURSE001,Technical Writing,6,Advanced,96.43,Data Science
EMP216,QA,COURSE045,Creative Thinking,5,Intermediate,57.97,Machine Learning
EMP285,SDE1,COURSE043,Agile Methodologies,3,Advanced,93.53,Cybersecurity
EMP219,DevOps,COURSE002,Database Management,2,Beginner,16.73,Cloud Computing
EMP114,DevOps,COURSE044,Business Analytics,3,Advanced,33.51,Cybersecurity
EMP346,Manager,COURSE027,Deep Learning,6,Beginner,64.3,Web Development
EMP089,SDE1,COURSE037,Quality Assurance,4,Intermediate,29.45,Cybersecurity
EMP009,SDE1,COURSE040,Artificial Intelligence,5,Advanced,8.11,Cybersecurity
EMP454,SDE2,COURSE029,Data Analysis with Python,5,Advanced,41.87,Data Science
EMP308,QA,COURSE002,Database Management,2,Beginner,71.1,Cloud Computing
EMP324,Manager,COURSE042,E-commerce Development,6,Beginner,79.95,Cybersecurity
EMP476,HR,COURSE002,Database Management,2,Beginner,63.47,Cloud Computing
EMP411,Designer,COURSE045,Creative Thinking,5,Intermediate,6.72,Machine Learning
EMP186,DevOps,COURSE001,Technical Writing,6,Advanced,48.48,Data Science
EMP215,SDE2,COURSE005,Machine Learning Basics,4,Advanced,93.09,Machine Learning
EMP290,QA,COURSE042,E-commerce Development,6,Beginner,81.99,Cybersecurity
EMP487,SDE1,COURSE022,Web Design,3,Advanced,70.93,Data Science
EMP084,SDE1,COURSE001,Technical Writing,6,Advanced,40.16,Data Science
EMP252,Manager,COURSE017,Digital Marketing,5,Beginner,54.62,Machine Learning
EMP012,QA,COURSE007,Deep Learning,2,Intermediate,16.45,Data Science
EMP134,HR,COURSE027,Deep Learning,6,Beginner,12.59,Web Development
EMP421,Lead,COURSE029,Data Analysis with Python,5,Advanced,87.68,Data Science
EMP049,SDE2,COURSE001,Technical Writing,6,Advanced,9.02,Data Science
EMP431,SDE1,COURSE048,Network Security,5,Advanced,94.93,Machine Learning
EMP394,DevOps,COURSE041,Backend Development,4,Advanced,19.48,Data Science
EMP082,SDE1,COURSE017,Digital Marketing,5,Beginner,44.97,Machine Learning
EMP294,SDE2,COURSE016,Backend Development,6,Intermediate,93.36,Data Science
EMP007,Lead,COURSE036,Public Speaking,2,Advanced,24.03,Web Development
EMP147,HR,COURSE048,Network Security,5,Advanced,2.36,Machine Learning
EMP379,DevOps,COURSE001,Technical Writing,6,Advanced,59.97,Data Science
EMP194,HR,COURSE003,ITIL Foundation,5,Intermediate,55.81,Cloud Computing
EMP446,SDE2,COURSE041,Backend Development,4,Advanced,52.73,Data Science
EMP494,Manager,COURSE028,API Development,4,Intermediate,65.27,Machine Learning
EMP186,DevOps,COURSE010,Data Visualization,6,Advanced,36.73,Web Development
EMP117,Manager,COURSE015,Database Management,3,Advanced,36.43,Cybersecurity
EMP387,Manager,COURSE008,Remote Work Skills,4,Intermediate,96.92,Data Science
EMP066,QA,COURSE019,Project Management,1,Advanced,6.26,Cloud Computing
EMP468,Designer,COURSE018,Blockchain Basics,6,Advanced,79.89,Machine Learning
EMP018,Manager,COURSE033,DevOps Fundamentals,4,Intermediate,70.19,Machine Learning
EMP095,Designer,COURSE001,Technical Writing,6,Advanced,5.03,Data Science
EMP246,SDE2,COURSE042,E-commerce Development,6,Beginner,61.83,Cybersecurity
EMP367,Designer,COURSE012,Responsive Web Design,3,Beginner,72.28,Machine Learning
EMP312,QA,COURSE043,Agile Methodologies,3,Advanced,13.78,Cybersecurity
EMP164,Designer,COURSE044,Business Analytics,3,Advanced,57.22,Cybersecurity
EMP102,Lead,COURSE045,Creative Thinking,5,Intermediate,76.37,Machine Learning
EMP057,Manager,COURSE003,ITIL Foundation,5,Intermediate,37.14,Cloud Computing
EMP192,HR,COURSE032,ITIL Foundation,4,Beginner,98.65,Data Science
EMP028,DevOps,COURSE012,Responsive Web Design,3,Beginner,3.18,Machine Learning
EMP422,HR,COURSE043,Agile Methodologies,3,Advanced,34.69,Cybersecurity
EMP287,SDE2,COURSE021,ITIL Foundation,3,Intermediate,99.97,Cloud Computing
EMP107,QA,COURSE029,Data Analysis with Python,5,Advanced,58.4,Data Science
EMP278,Lead,COURSE020,UI/UX Design,5,Advanced,45.83,Web Development
EMP177,Lead,COURSE034,UI/UX Design,1,Advanced,8.61,Web Development
EMP359,Manager,COURSE029,Data Analysis with Python,5,Advanced,33.46,Data Science
EMP001,Lead,COURSE023,Machine Learning Basics,4,Beginner,74.13,Cybersecurity
EMP101,HR,COURSE037,Quality Assurance,4,Intermediate,71.0,Cybersecurity
EMP344,Lead,COURSE010,Data Visualization,6,Advanced,5.77,Web Development
EMP414,Manager,COURSE011,Python for Data Science,6,Advanced,63.68,Machine Learning
EMP132,Manager,COURSE033,DevOps Fundamentals,4,Intermediate,4.32,Machine Learning
EMP146,Lead,COURSE043,Agile Methodologies,3,Advanced,37.23,Cybersecurity
EMP363,SDE1,COURSE034,UI/UX Design,1,Advanced,70.64,Web Development
EMP438,SDE2,COURSE042,E-commerce Development,6,Beginner,74.89,Cybersecurity
EMP301,SDE2,COURSE015,Database Management,3,Advanced,21.0,Cybersecurity
EMP370,SDE1,COURSE039,Public Speaking,6,Advanced,22.73,Data Science
EMP459,SDE2,COURSE047,Data Structures,1,Advanced,31.77,Web Development
EMP031,Manager,COURSE034,UI/UX Design,1,Advanced,69.1,Web Development
EMP449,SDE1,COURSE003,ITIL Foundation,5,Intermediate,93.26,Cloud Computing
EMP047,Manager,COURSE003,ITIL Foundation,5,Intermediate,78.31,Cloud Computing
EMP280,Designer,COURSE005,Machine Learning Basics,4,Advanced,44.62,Machine Learning
EMP126,Manager,COURSE006,Web Development with React,6,Advanced,77.25,Cloud Computing
EMP305,Lead,COURSE033,DevOps Fundamentals,4,Intermediate,26.81,Machine Learning
EMP348,SDE1,COURSE012,Responsive Web Design,3,Beginner,13.57,Machine Learning
EMP179,HR,COURSE020,UI/UX Design,5,Advanced,70.71,Web Development
EMP419,Lead,COURSE001,Technical Writing,6,Advanced,55.58,Data Science
EMP305,Lead,COURSE036,Public Speaking,2,Advanced,26.94,Web Development
EMP414,Manager,COURSE005,Machine Learning Basics,4,Advanced,64.15,Machine Learning
EMP055,DevOps,COURSE043,Agile Methodologies,3,Advanced,74.87,Cybersecurity
EMP361,Lead,COURSE002,Database Management,2,Beginner,56.8,Cloud Computing
EMP101,HR,COURSE048,Network Security,5,Advanced,76.18,Machine Learning
EMP350,SDE1,COURSE030,Cloud Basics,3,Advanced,62.94,Data Science
EMP272,HR,COURSE011,Python for Data Science,6,Advanced,32.04,Machine Learning
EMP254,SDE2,COURSE035,Information Security,4,Advanced,18.44,Cybersecurity
EMP499,Lead,COURSE039,Public Speaking,6,Advanced,86.36,Data Science
EMP189,HR,COURSE013,Scrum Master Certification,6,Beginner,80.89,Machine Learning
EMP415,Lead,COURSE010,Data Visualization,6,Advanced,1.4,Web Development
EMP163,SDE2,COURSE031,Mobile App Development,5,Advanced,51.56,Cloud Computing
EMP312,QA,COURSE044,Business Analytics,3,Advanced,13.67,Cybersecurity
EMP479,QA,COURSE043,Agile Methodologies,3,Advanced,60.92,Cybersecurity
EMP415,Lead,COURSE026,Digital Marketing,2,Intermediate,52.88,Web Development
EMP243,Designer,COURSE013,Scrum Master Certification,6,Beginner,12.32,Machine Learning
EMP214,SDE2,COURSE010,Data Visualization,6,Advanced,70.79,Web Development
EMP054,QA,COURSE015,Database Management,3,Advanced,48.39,Cybersecurity
EMP272,HR,COURSE024,Software Engineering,6,Beginner,25.96,Machine Learning
EMP100,QA,COURSE043,Agile Methodologies,3,Advanced,24.62,Cybersecurity
EMP038,Designer,COURSE012,Responsive Web Design,3,Beginner,32.11,Machine Learning
EMP376,DevOps,COURSE001,Technical Writing,6,Advanced,57.86,Data Science
EMP226,Lead,COURSE050,E-commerce Development,2,Intermediate,2.88,Cloud Computing
EMP186,DevOps,COURSE037,Quality Assurance,4,Intermediate,56.64,Cybersecurity
EMP105,HR,COURSE012,Responsive Web Design,3,Beginner,41.98,Machine Learning
EMP108,Designer,COURSE035,Information Security,4,Advanced,1.47,Cybersecurity
EMP452,SDE2,COURSE004,Network Security,5,Beginner,67.59,Data Science
EMP482,SDE1,COURSE009,Networking Essentials,1,Intermediate,45.21,Cloud Computing
EMP272,HR,COURSE041,Backend Development,4,Advanced,64.19,Data Science
EMP082,SDE1,COURSE015,Database Management,3,Advanced,45.82,Cybersecurity
EMP310,Lead,COURSE041,Backend Development,4,Advanced,97.49,Data Science
EMP430,Lead,COURSE004,Network Security,5,Beginner,38.22,Data Science
EMP351,Designer,COURSE001,Technical Writing,6,Advanced,91.41,Data Science
EMP086,Manager,COURSE036,Public Speaking,2,Advanced,23.86,Web Development
EMP046,Manager,COURSE042,E-commerce Development,6,Beginner,71.62,Cybersecurity
EMP056,QA,COURSE023,Machine Learning Basics,4,Beginner,24.2,Cybersecurity
EMP379,DevOps,COURSE041,Backend Development,4,Advanced,64.08,Data Science
EMP173,SDE1,COURSE034,UI/UX Design,1,Advanced,70.97,Web Development
EMP002,SDE2,COURSE039,Public Speaking,6,Advanced,36.2,Data Science
EMP137,Lead,COURSE008,Remote Work Skills,4,Intermediate,96.15,Data Science
EMP190,Manager,COURSE005,Machine Learning Basics,4,Advanced,48.13,Machine Learning
EMP015,Designer,COURSE002,Database Management,2,Beginner,95.85,Cloud Computing
EMP273,Lead,COURSE014,Full Stack Development,1,Advanced,10.78,Web Development
EMP288,QA,COURSE050,E-commerce Development,2,Intermediate,36.21,Cloud Computing
EMP360,DevOps,COURSE032,ITIL Foundation,4,Beginner,46.14,Data Science
EMP190,Manager,COURSE030,Cloud Basics,3,Advanced,38.7,Data Science
EMP359,Manager,COURSE011,Python for Data Science,6,Advanced,53.56,Machine Learning
EMP301,SDE2,COURSE049,Data Science with R,1,Advanced,11.19,Cybersecurity
EMP211,QA,COURSE042,E-commerce Development,6,Beginner,0.1,Cybersecurity
EMP020,Lead,COURSE042,E-commerce Development,6,Beginner,22.93,Cybersecurity
EMP403,Lead,COURSE004,Network Security,5,Beginner,94.9,Data Science
EMP369,SDE1,COURSE034,UI/UX Design,1,Advanced,79.97,Web Development
EMP293,SDE1,COURSE048,Network Security,5,Advanced,66.85,Machine Learning
EMP351,Designer,COURSE033,DevOps Fundamentals,4,Intermediate,41.54,Machine Learning
EMP279,Lead,COURSE007,Deep Learning,2,Intermediate,24.54,Data Science
EMP381,QA,COURSE004,Network Security,5,Beginner,55.23,Data Science
EMP323,SDE1,COURSE013,Scrum Master Certification,6,Beginner,58.43,Machine Learning
EMP166,SDE1,COURSE044,Business Analytics,3,Advanced,52.39,Cybersecurity
EMP253,SDE2,COURSE014,Full Stack Development,1,Advanced,36.51,Web Development
EMP437,SDE2,COURSE020,UI/UX Design,5,Advanced,47.07,Web Development
EMP020,Lead,COURSE031,Mobile App Development,5,Advanced,73.61,Cloud Computing
EMP024,Lead,COURSE045,Creative Thinking,5,Intermediate,71.85,Machine Learning
EMP489,Designer,COURSE046,Virtualization Technologies,4,Beginner,1.21,Machine Learning
EMP326,Designer,COURSE031,Mobile App Development,5,Advanced,59.2,Cloud Computing
EMP440,SDE1,COURSE048,Network Security,5,Advanced,74.88,Machine Learning
EMP259,SDE2,COURSE009,Networking Essentials,1,Intermediate,93.33,Cloud Computing
EMP125,Designer,COURSE046,Virtualization Technologies,4,Beginner,92.49,Machine Learning
EMP387,Manager,COURSE037,Quality Assurance,4,Intermediate,73.43,Cybersecurity
EMP291,SDE1,COURSE048,Network Security,5,Advanced,52.5,Machine Learning
EMP063,SDE2,COURSE038,Cloud Basics,2,Advanced,2.26,Machine Learning
EMP342,SDE1,COURSE003,ITIL Foundation,5,Intermediate,41.28,Cloud Computing
EMP392,SDE2,COURSE006,Web Development with React,6,Advanced,86.83,Cloud Computing
EMP223,HR,COURSE005,Machine Learning Basics,4,Advanced,99.18,Machine Learning
EMP067,Designer,COURSE019,Project Management,1,Advanced,38.52,Cloud Computing
EMP006,HR,COURSE029,Data Analysis with Python,5,Advanced,9.46,Data Science
EMP191,DevOps,COURSE042,E-commerce Development,6,Beginner,73.3,Cybersecurity
EMP477,HR,COURSE013,Scrum Master Certification,6,Beginner,94.87,Machine Learning
EMP318,Lead,COURSE028,API Development,4,Intermediate,65.76,Machine Learning
EMP166,SDE1,COURSE002,Database Management,2,Beginner,46.97,Cloud Computing
EMP492,HR,COURSE047,Data Structures,1,Advanced,54.71,Web Development
EMP347,QA,COURSE040,Artificial Intelligence,5,Advanced,32.37,Cybersecurity
EMP197,Manager,COURSE045,Creative Thinking,5,Intermediate,25.71,Machine Learning
EMP188,HR,COURSE020,UI/UX Design,5,Advanced,20.28,Web Development
EMP324,Manager,COURSE017,Digital Marketing,5,Beginner,40.03,Machine Learning
EMP302,DevOps,COURSE050,E-commerce Development,2,Intermediate,65.62,Cloud Computing
EMP121,SDE2,COURSE039,Public Speaking,6,Advanced,94.43,Data Science
EMP311,SDE2,COURSE021,ITIL Foundation,3,Intermediate,89.49,Cloud Computing
EMP219,DevOps,COURSE030,Cloud Basics,3,Advanced,82.74,Data Science
EMP438,SDE2,COURSE017,Digital Marketing,5,Beginner,82.16,Machine Learning
EMP462,HR,COURSE038,Cloud Basics,2,Advanced,66.39,Machine Learning
EMP417,SDE1,COURSE047,Data Structures,1,Advanced,5.94,Web Development
EMP189,HR,COURSE005,Machine Learning Basics,4,Advanced,88.09,Machine Learning
EMP024,Lead,COURSE041,Backend Development,4,Advanced,61.77,Data Science
EMP171,DevOps,COURSE042,E-commerce Development,6,Beginner,75.76,Cybersecurity
EMP268,Designer,COURSE016,Backend Development,6,Intermediate,82.52,Data Science
EMP406,Lead,COURSE029,Data Analysis with Python,5,Advanced,72.62,Data Science
EMP297,Designer,COURSE015,Database Management,3,Advanced,70.52,Cybersecurity
EMP377,DevOps,COURSE018,Blockchain Basics,6,Advanced,80.63,Machine Learning
EMP389,SDE1,COURSE050,E-commerce Development,2,Intermediate,52.19,Cloud Computing
EMP152,HR,COURSE017,Digital Marketing,5,Beginner,41.32,Machine Learning
EMP122,Manager,COURSE024,Software Engineering,6,Beginner,56.91,Machine Learning
EMP125,Designer,COURSE027,Deep Learning,6,Beginner,91.02,Web Development
EMP395,HR,COURSE041,Backend Development,4,Advanced,2.69,Data Science
EMP369,SDE1,COURSE023,Machine Learning Basics,4,Beginner,15.51,Cybersecurity
EMP127,Lead,COURSE047,Data Structures,1,Advanced,22.13,Web Development
EMP297,Designer,COURSE003,ITIL Foundation,5,Intermediate,77.78,Cloud Computing
EMP111,SDE2,COURSE029,Data Analysis with Python,5,Advanced,60.47,Data Science
EMP099,HR,COURSE038,Cloud Basics,2,Advanced,55.9,Machine Learning
EMP253,SDE2,COURSE025,Time Management,5,Advanced,87.42,Web Development
EMP495,SDE2,COURSE014,Full Stack Development,1,Advanced,96.69,Web Development
EMP306,DevOps,COURSE038,Cloud Basics,2,Advanced,35.4,Machine Learning
EMP491,SDE1,COURSE048,Network Security,5,Advanced,72.58,Machine Learning
