empID,courseID,completion_rate
EMP380,COURSE037,41
EMP262,COURSE023,84
EMP021,COURSE046,89
EMP011,COURSE037,2
EMP285,COURSE002,86
EMP201,COURSE046,90
EMP336,COURSE028,95
EMP137,COURSE047,8
EMP308,COURSE035,59
EMP352,COURSE020,95
EMP005,COURSE011,73
EMP093,COURSE012,24
EMP123,COURSE037,50
EMP440,COURSE006,49
EMP213,COURSE045,52
EMP087,COURSE028,57
EMP169,COURSE030,66
EMP145,COURSE043,62
EMP334,COURSE013,96
EMP096,COURSE013,15
EMP232,COURSE042,87
EMP116,COURSE019,38
EMP393,COURSE043,93
EMP439,COURSE019,54
EMP333,COURSE030,38
EMP116,COURSE011,36
EMP219,COURSE004,57
EMP290,COURSE009,81
EMP416,COURSE046,30
EMP146,COURSE024,30
EMP288,COURSE022,63
EMP422,COURSE013,31
EMP195,COURSE045,66
EMP109,COURSE021,87
EMP395,COURSE034,97
EMP255,COURSE039,24
EMP403,COURSE018,41
EMP320,COURSE025,68
EMP171,COURSE022,84
EMP433,COURSE031,28
EMP399,COURSE010,6
EMP202,COURSE019,59
EMP425,COURSE009,52
EMP212,COURSE050,13
EMP368,COURSE020,5
EMP180,COURSE034,72
EMP030,COURSE048,85
EMP420,COURSE042,85
EMP065,COURSE021,69
EMP352,COURSE041,65
EMP416,COURSE025,23
EMP419,COURSE029,54
EMP173,COURSE031,55
EMP245,COURSE042,93
EMP450,COURSE032,53
EMP010,COURSE026,43
EMP100,COURSE028,73
EMP359,COURSE024,44
EMP101,COURSE040,76
EMP034,COURSE003,54
EMP109,COURSE035,39
EMP124,COURSE022,82
EMP393,COURSE022,66
EMP295,COURSE010,70
EMP117,COURSE032,72
EMP399,COURSE048,47
EMP397,COURSE010,30
EMP296,COURSE003,85
EMP138,COURSE032,87
EMP052,COURSE041,80
EMP301,COURSE022,48
EMP432,COURSE015,92
EMP304,COURSE029,44
EMP437,COURSE001,32
EMP273,COURSE032,0
EMP213,COURSE012,14
EMP061,COURSE024,59
EMP390,COURSE030,96
EMP021,COURSE039,72
EMP286,COURSE025,64
EMP407,COURSE043,57
EMP429,COURSE024,73
EMP042,COURSE042,4
EMP290,COURSE004,0
EMP270,COURSE008,98
EMP134,COURSE045,72
EMP430,COURSE018,49
EMP235,COURSE038,80
EMP495,COURSE008,53
EMP085,COURSE048,67
EMP345,COURSE032,57
EMP420,COURSE021,72
EMP345,COURSE010,45
EMP024,COURSE030,34
EMP055,COURSE039,28
EMP147,COURSE009,29
EMP396,COURSE029,97
EMP316,COURSE025,71
EMP158,COURSE032,88
EMP392,COURSE004,30
EMP066,COURSE041,94
EMP209,COURSE030,58
EMP458,COURSE035,29
EMP416,COURSE020,95
EMP250,COURSE033,63
EMP115,COURSE024,35
EMP143,COURSE045,77
EMP144,COURSE042,52
EMP302,COURSE002,15
EMP382,COURSE011,71
EMP050,COURSE009,16
EMP222,COURSE012,41
EMP010,COURSE025,8
EMP066,COURSE001,29
EMP117,COURSE010,51
EMP188,COURSE033,82
EMP382,COURSE041,33
EMP020,COURSE029,12
EMP355,COURSE004,58
EMP409,COURSE013,0
EMP309,COURSE007,93
EMP345,COURSE013,16
EMP436,COURSE003,75
EMP420,COURSE024,24
EMP192,COURSE029,80
EMP468,COURSE046,18
EMP282,COURSE044,73
EMP142,COURSE034,63
EMP302,COURSE050,70
EMP392,COURSE003,38
EMP472,COURSE009,62
EMP251,COURSE039,72
EMP037,COURSE009,4
EMP217,COURSE006,10
EMP107,COURSE013,97
EMP031,COURSE042,44
EMP030,COURSE005,84
EMP266,COURSE025,70
EMP067,COURSE044,11
EMP135,COURSE037,16
EMP432,COURSE028,1
EMP182,COURSE045,79
EMP434,COURSE048,79
EMP131,COURSE017,51
EMP465,COURSE039,10
EMP182,COURSE027,12
EMP073,COURSE030,38
EMP133,COURSE019,10
EMP431,COURSE029,35
EMP230,COURSE040,98
EMP489,COURSE006,60
EMP018,COURSE007,83
EMP332,COURSE014,41
EMP314,COURSE043,3
EMP103,COURSE038,69
EMP487,COURSE004,74
EMP264,COURSE049,76
EMP492,COURSE013,95
EMP391,COURSE043,61
EMP483,COURSE012,95
EMP393,COURSE036,7
EMP440,COURSE015,21
EMP406,COURSE007,16
EMP025,COURSE034,11
EMP462,COURSE009,82
EMP455,COURSE031,92
EMP489,COURSE014,44
EMP320,COURSE009,86
EMP280,COURSE023,82
EMP378,COURSE031,3
EMP060,COURSE046,41
EMP402,COURSE023,13
EMP435,COURSE037,60
EMP061,COURSE032,79
EMP237,COURSE013,32
EMP415,COURSE005,6
EMP001,COURSE043,100
EMP063,COURSE015,74
EMP421,COURSE006,65
EMP089,COURSE047,40
EMP017,COURSE043,67
EMP255,COURSE008,34
EMP332,COURSE029,6
EMP272,COURSE020,85
EMP103,COURSE031,17
EMP361,COURSE047,26
EMP165,COURSE015,54
EMP241,COURSE050,81
EMP419,COURSE039,4
EMP054,COURSE020,78
EMP304,COURSE004,15
EMP443,COURSE044,56
EMP192,COURSE044,96
EMP262,COURSE045,9
EMP390,COURSE019,69
EMP251,COURSE017,6
EMP161,COURSE042,71
EMP468,COURSE011,0
EMP434,COURSE037,11
EMP337,COURSE005,66
EMP284,COURSE021,65
EMP461,COURSE044,56
EMP091,COURSE016,10
EMP383,COURSE036,68
EMP017,COURSE018,63
EMP394,COURSE022,81
EMP006,COURSE023,66
EMP062,COURSE032,25
EMP484,COURSE025,42
EMP187,COURSE016,15
EMP487,COURSE046,65
EMP425,COURSE029,1
EMP451,COURSE031,1
EMP044,COURSE005,25
EMP339,COURSE036,63
EMP365,COURSE027,46
EMP088,COURSE036,86
EMP419,COURSE006,10
EMP358,COURSE050,39
EMP069,COURSE024,41
EMP440,COURSE035,92
EMP145,COURSE012,21
EMP371,COURSE037,57
EMP003,COURSE017,48
EMP345,COURSE044,38
EMP176,COURSE017,56
EMP063,COURSE005,5
EMP066,COURSE029,73
EMP264,COURSE022,25
EMP310,COURSE017,3
EMP031,COURSE050,41
EMP260,COURSE005,57
EMP026,COURSE049,77
EMP461,COURSE007,72
EMP221,COURSE002,68
EMP343,COURSE007,76
EMP467,COURSE047,27
EMP064,COURSE016,62
EMP261,COURSE019,8
EMP287,COURSE017,24
EMP296,COURSE047,44
EMP204,COURSE005,12
EMP335,COURSE015,13
EMP226,COURSE004,93
EMP106,COURSE013,6
EMP333,COURSE038,73
EMP280,COURSE037,4
EMP491,COURSE006,86
EMP031,COURSE040,83
EMP259,COURSE013,92
EMP412,COURSE038,15
EMP129,COURSE049,18
EMP226,COURSE041,73
EMP001,COURSE005,12
EMP013,COURSE025,16
EMP302,COURSE008,47
EMP038,COURSE050,79
EMP176,COURSE041,26
EMP356,COURSE039,31
EMP278,COURSE008,61
EMP151,COURSE043,65
EMP246,COURSE021,37
EMP242,COURSE014,87
EMP321,COURSE011,86
EMP290,COURSE012,40
EMP394,COURSE033,34
EMP155,COURSE003,99
EMP074,COURSE024,99
EMP250,COURSE032,41
EMP374,COURSE034,40
EMP456,COURSE012,2
EMP020,COURSE015,74
EMP306,COURSE015,2
EMP233,COURSE014,12
EMP088,COURSE050,73
EMP312,COURSE033,35
EMP210,COURSE044,0
EMP066,COURSE021,20
EMP090,COURSE045,47
EMP168,COURSE011,68
EMP144,COURSE017,1
EMP216,COURSE001,64
EMP364,COURSE025,50
EMP374,COURSE001,5
EMP038,COURSE020,91
EMP114,COURSE008,16
EMP307,COURSE005,24
EMP319,COURSE048,68
EMP423,COURSE025,10
EMP156,COURSE006,60
EMP058,COURSE003,52
EMP353,COURSE002,76
EMP233,COURSE007,41
EMP300,COURSE035,97
EMP281,COURSE038,61
EMP046,COURSE021,66
EMP038,COURSE006,27
EMP321,COURSE020,80
EMP107,COURSE008,42
EMP267,COURSE047,17
EMP158,COURSE022,16
EMP267,COURSE028,29
EMP404,COURSE010,24
EMP443,COURSE030,16
EMP464,COURSE024,20
EMP458,COURSE037,92
EMP217,COURSE032,94
EMP452,COURSE038,32
EMP184,COURSE012,9
EMP372,COURSE025,94
EMP091,COURSE009,60
EMP165,COURSE047,18
EMP112,COURSE042,5
EMP456,COURSE017,14
EMP370,COURSE031,84
EMP040,COURSE028,60
EMP341,COURSE025,95
EMP232,COURSE004,7
EMP368,COURSE049,20
EMP268,COURSE014,7
EMP369,COURSE048,0
EMP259,COURSE018,37
EMP498,COURSE043,48
EMP312,COURSE028,17
EMP067,COURSE001,3
EMP072,COURSE005,28
EMP274,COURSE003,6
EMP138,COURSE005,5
EMP286,COURSE014,32
EMP483,COURSE030,88
EMP284,COURSE011,83
EMP147,COURSE016,28
EMP457,COURSE041,19
EMP350,COURSE043,21
EMP467,COURSE024,88
EMP162,COURSE039,21
EMP431,COURSE002,68
EMP266,COURSE022,47
EMP096,COURSE003,43
EMP329,COURSE035,55
EMP439,COURSE038,20
EMP220,COURSE041,99
EMP001,COURSE034,82
EMP200,COURSE034,14
EMP432,COURSE041,5
EMP315,COURSE045,5
EMP223,COURSE022,51
EMP475,COURSE045,30
EMP111,COURSE019,37
EMP070,COURSE022,17
EMP436,COURSE014,1
EMP059,COURSE038,97
EMP491,COURSE034,66
EMP422,COURSE019,30
EMP282,COURSE019,94
EMP243,COURSE004,21
EMP443,COURSE024,0
EMP288,COURSE007,5
EMP132,COURSE020,12
EMP406,COURSE041,0
EMP374,COURSE048,1
EMP059,COURSE026,67
EMP280,COURSE036,79
EMP464,COURSE023,64
EMP143,COURSE008,7
EMP233,COURSE043,64
EMP339,COURSE001,31
EMP386,COURSE019,41
EMP247,COURSE008,10
EMP026,COURSE038,6
EMP495,COURSE047,46
EMP261,COURSE024,32
EMP053,COURSE001,57
EMP010,COURSE021,42
EMP431,COURSE027,49
EMP238,COURSE003,13
EMP261,COURSE038,72
EMP318,COURSE035,79
EMP087,COURSE026,93
EMP193,COURSE021,69
EMP242,COURSE037,66
EMP465,COURSE015,78
EMP020,COURSE022,40
EMP096,COURSE022,25
EMP180,COURSE037,64
EMP064,COURSE025,14
EMP285,COURSE034,65
EMP391,COURSE022,80
EMP361,COURSE015,12
EMP336,COURSE031,27
EMP244,COURSE041,90
EMP266,COURSE035,57
EMP048,COURSE039,76
EMP397,COURSE048,54
EMP467,COURSE019,80
EMP100,COURSE032,77
EMP448,COURSE010,36
EMP433,COURSE029,2
EMP171,COURSE014,5
EMP206,COURSE039,91
EMP336,COURSE035,20
EMP486,COURSE030,14
EMP364,COURSE049,26
EMP253,COURSE007,33
EMP088,COURSE007,84
EMP434,COURSE041,75
EMP494,COURSE037,57
EMP080,COURSE034,2
EMP030,COURSE029,93
EMP094,COURSE018,1
EMP209,COURSE012,52
EMP262,COURSE022,91
EMP010,COURSE005,17
EMP375,COURSE006,23
EMP203,COURSE016,86
EMP265,COURSE022,4
EMP022,COURSE050,86
EMP195,COURSE007,77
EMP488,COURSE042,9
EMP167,COURSE029,54
EMP217,COURSE018,27
EMP002,COURSE042,26
EMP186,COURSE040,36
EMP065,COURSE006,27
EMP420,COURSE034,21
EMP418,COURSE034,11
EMP170,COURSE030,100
EMP350,COURSE015,77
EMP421,COURSE040,52
EMP331,COURSE016,46
EMP450,COURSE039,71
EMP208,COURSE046,12
EMP415,COURSE009,23
EMP491,COURSE019,97
EMP427,COURSE046,67
EMP071,COURSE029,32
EMP327,COURSE023,95
EMP315,COURSE031,9
EMP402,COURSE010,92
EMP386,COURSE012,94
EMP475,COURSE013,99
EMP209,COURSE014,10
EMP179,COURSE015,60
EMP106,COURSE022,20
EMP201,COURSE028,13
EMP271,COURSE026,23
EMP352,COURSE029,8
EMP244,COURSE040,87
EMP284,COURSE018,42
EMP419,COURSE049,35
EMP265,COURSE040,89
EMP325,COURSE003,38
EMP364,COURSE009,24
EMP300,COURSE005,18
EMP270,COURSE039,16
EMP392,COURSE003,83
EMP118,COURSE032,66
EMP131,COURSE028,9
EMP429,COURSE041,81
EMP176,COURSE003,45
EMP332,COURSE003,29
EMP475,COURSE017,47
EMP379,COURSE035,53
EMP030,COURSE018,61
EMP033,COURSE029,2
EMP358,COURSE005,72
EMP397,COURSE033,62
EMP038,COURSE038,90
EMP423,COURSE004,59
EMP491,COURSE028,49
EMP045,COURSE011,41
EMP411,COURSE031,69
EMP263,COURSE036,81
EMP466,COURSE017,10
EMP238,COURSE026,3
EMP371,COURSE017,61
EMP247,COURSE010,21
EMP286,COURSE031,67
EMP389,COURSE035,14
EMP060,COURSE033,40
EMP342,COURSE019,28
EMP356,COURSE034,27
EMP351,COURSE007,23
EMP258,COURSE032,31
EMP111,COURSE017,39
EMP236,COURSE008,90
EMP031,COURSE046,85
EMP341,COURSE013,25
EMP188,COURSE017,27
EMP282,COURSE010,88
EMP056,COURSE032,28
EMP262,COURSE018,83
EMP082,COURSE003,47
EMP434,COURSE004,41
EMP333,COURSE023,79
EMP479,COURSE040,2
EMP382,COURSE026,76
EMP180,COURSE011,78
EMP156,COURSE014,63
EMP323,COURSE048,52
EMP298,COURSE032,34
EMP052,COURSE021,44
EMP500,COURSE013,80
EMP194,COURSE039,62
EMP125,COURSE035,79
EMP307,COURSE023,90
EMP267,COURSE028,80
EMP370,COURSE036,20
EMP410,COURSE038,21
EMP467,COURSE019,44
EMP128,COURSE041,16
EMP418,COURSE025,19
EMP419,COURSE005,83
EMP370,COURSE037,2
EMP418,COURSE025,55
EMP441,COURSE023,23
EMP125,COURSE011,39
EMP452,COURSE035,8
EMP269,COURSE029,29
EMP074,COURSE029,75
EMP158,COURSE016,64
EMP294,COURSE021,2
EMP469,COURSE034,92
EMP289,COURSE023,67
EMP324,COURSE016,32
EMP424,COURSE034,9
EMP011,COURSE036,10
EMP426,COURSE023,38
EMP400,COURSE013,46
EMP288,COURSE016,65
EMP280,COURSE037,56
EMP255,COURSE047,88
EMP496,COURSE018,43
EMP324,COURSE030,41
EMP456,COURSE021,61
EMP141,COURSE008,84
EMP280,COURSE003,39
EMP309,COURSE029,99
EMP054,COURSE032,98
EMP192,COURSE036,51
EMP350,COURSE027,11
EMP261,COURSE031,28
EMP432,COURSE042,66
EMP467,COURSE047,85
EMP282,COURSE041,44
EMP399,COURSE034,47
EMP418,COURSE027,63
EMP130,COURSE006,63
EMP311,COURSE049,98
EMP075,COURSE025,0
EMP031,COURSE017,29
EMP460,COURSE026,23
EMP357,COURSE006,3
EMP315,COURSE014,57
EMP266,COURSE042,57
EMP448,COURSE021,43
EMP360,COURSE033,48
EMP211,COURSE020,56
EMP219,COURSE048,48
EMP441,COURSE044,14
EMP253,COURSE034,42
EMP408,COURSE034,97
EMP157,COURSE018,60
EMP281,COURSE021,52
EMP320,COURSE011,26
EMP460,COURSE049,76
EMP306,COURSE039,9
EMP493,COURSE005,51
EMP121,COURSE044,14
EMP018,COURSE044,20
EMP230,COURSE014,57
EMP018,COURSE027,47
EMP202,COURSE026,4
EMP428,COURSE004,59
EMP241,COURSE034,87
EMP027,COURSE001,17
EMP009,COURSE007,91
EMP459,COURSE001,38
EMP222,COURSE044,64
EMP030,COURSE021,23
EMP486,COURSE045,100
EMP031,COURSE047,77
EMP210,COURSE040,68
EMP310,COURSE048,8
EMP328,COURSE021,83
EMP326,COURSE042,89
EMP023,COURSE045,87
EMP314,COURSE039,91
EMP381,COURSE020,90
EMP447,COURSE042,48
EMP240,COURSE012,17
EMP100,COURSE035,50
EMP470,COURSE033,45
EMP129,COURSE004,61
EMP421,COURSE041,63
EMP467,COURSE042,28
EMP350,COURSE024,25
EMP270,COURSE008,60
EMP405,COURSE004,2
EMP448,COURSE014,48
EMP232,COURSE011,9
EMP167,COURSE027,13
EMP025,COURSE005,85
EMP227,COURSE027,75
EMP226,COURSE017,30
EMP449,COURSE025,99
EMP300,COURSE033,87
EMP368,COURSE015,49
EMP267,COURSE032,85
EMP060,COURSE043,95
EMP154,COURSE021,31
EMP338,COURSE043,26
EMP207,COURSE040,74
EMP127,COURSE017,41
EMP384,COURSE033,41
EMP154,COURSE032,65
EMP415,COURSE018,10
EMP493,COURSE049,53
EMP227,COURSE025,99
EMP360,COURSE021,5
EMP326,COURSE003,62
EMP341,COURSE012,56
EMP157,COURSE022,17
EMP247,COURSE013,26
EMP027,COURSE046,22
EMP084,COURSE003,71
EMP277,COURSE014,75
EMP437,COURSE028,5
EMP291,COURSE044,58
EMP146,COURSE028,68
EMP211,COURSE002,32
EMP201,COURSE015,51
EMP127,COURSE003,57
EMP050,COURSE007,33
EMP199,COURSE023,72
EMP426,COURSE027,18
EMP335,COURSE004,6
EMP362,COURSE003,95
EMP453,COURSE012,10
EMP148,COURSE021,61
EMP481,COURSE001,0
EMP033,COURSE017,61
EMP332,COURSE030,22
EMP184,COURSE044,72
EMP422,COURSE032,24
EMP423,COURSE044,89
EMP140,COURSE031,80
EMP424,COURSE002,100
EMP288,COURSE028,0
EMP230,COURSE032,75
EMP242,COURSE007,14
EMP245,COURSE050,96
EMP226,COURSE010,43
EMP107,COURSE038,36
EMP211,COURSE040,49
EMP444,COURSE024,23
EMP386,COURSE021,24
EMP104,COURSE003,9
EMP356,COURSE003,9
EMP155,COURSE004,92
EMP373,COURSE027,29
EMP042,COURSE040,95
EMP242,COURSE002,90
EMP394,COURSE013,45
EMP407,COURSE016,93
EMP193,COURSE049,41
EMP204,COURSE041,4
EMP293,COURSE021,25
EMP331,COURSE036,85
EMP334,COURSE011,95
EMP006,COURSE047,6
EMP109,COURSE015,68
EMP095,COURSE003,96
EMP336,COURSE040,84
EMP260,COURSE036,82
EMP102,COURSE047,17
EMP181,COURSE018,94
EMP142,COURSE019,16
EMP222,COURSE019,31
EMP188,COURSE040,81
EMP417,COURSE042,34
EMP070,COURSE012,55
EMP313,COURSE040,55
EMP446,COURSE037,87
EMP161,COURSE035,19
EMP160,COURSE007,91
EMP255,COURSE049,63
EMP470,COURSE025,74
EMP104,COURSE005,27
EMP111,COURSE010,65
EMP457,COURSE006,71
EMP005,COURSE015,66
EMP065,COURSE028,80
EMP001,COURSE024,57
EMP396,COURSE035,41
EMP233,COURSE048,42
EMP250,COURSE026,45
EMP419,COURSE009,13
EMP282,COURSE027,17
EMP362,COURSE030,0
EMP141,COURSE029,67
EMP269,COURSE004,80
EMP213,COURSE021,10
EMP259,COURSE008,24
EMP069,COURSE032,5
EMP421,COURSE009,3
EMP080,COURSE001,19
EMP488,COURSE004,13
EMP298,COURSE007,35
EMP238,COURSE034,87
EMP114,COURSE040,22
EMP407,COURSE019,7
EMP086,COURSE008,74
EMP423,COURSE015,84
EMP281,COURSE029,34
EMP487,COURSE039,20
EMP297,COURSE021,82
EMP401,COURSE023,31
EMP350,COURSE036,83
EMP103,COURSE002,25
EMP062,COURSE025,1
EMP213,COURSE020,30
EMP067,COURSE040,7
EMP332,COURSE010,39
EMP039,COURSE044,99
EMP055,COURSE023,67
EMP445,COURSE026,23
EMP287,COURSE037,97
EMP494,COURSE008,65
EMP413,COURSE049,42
EMP334,COURSE020,40
EMP091,COURSE028,6
EMP455,COURSE016,40
EMP021,COURSE045,96
EMP396,COURSE002,69
EMP076,COURSE009,42
EMP130,COURSE039,82
EMP383,COURSE038,61
EMP492,COURSE024,79
EMP134,COURSE047,77
EMP342,COURSE005,12
EMP299,COURSE016,50
EMP372,COURSE035,57
EMP267,COURSE029,97
EMP450,COURSE049,61
EMP257,COURSE032,87
EMP332,COURSE022,93
EMP068,COURSE013,12
EMP198,COURSE002,13
EMP461,COURSE035,40
EMP236,COURSE016,40
EMP463,COURSE006,70
EMP397,COURSE005,0
EMP292,COURSE005,28
EMP335,COURSE042,22
EMP152,COURSE023,7
EMP136,COURSE017,29
EMP396,COURSE010,16
EMP066,COURSE043,90
EMP500,COURSE004,53
EMP139,COURSE016,13
EMP214,COURSE032,71
EMP165,COURSE007,93
EMP349,COURSE021,88
EMP441,COURSE048,71
EMP208,COURSE043,56
EMP458,COURSE041,6
EMP368,COURSE032,49
EMP163,COURSE047,27
EMP500,COURSE031,9
EMP289,COURSE048,86
EMP182,COURSE034,82
EMP460,COURSE041,43
EMP296,COURSE034,96
EMP160,COURSE014,64
EMP263,COURSE021,66
EMP036,COURSE033,99
EMP338,COURSE024,55
EMP017,COURSE014,42
EMP379,COURSE046,68
EMP058,COURSE038,53
EMP110,COURSE044,82
EMP152,COURSE039,52
EMP402,COURSE010,45
EMP153,COURSE039,96
EMP393,COURSE043,64
EMP076,COURSE047,70
EMP427,COURSE028,71
EMP018,COURSE041,83
EMP256,COURSE023,56
EMP238,COURSE016,59
EMP394,COURSE038,59
EMP214,COURSE043,83
EMP386,COURSE022,67
EMP391,COURSE026,90
EMP186,COURSE011,95
EMP456,COURSE035,73
EMP079,COURSE007,79
EMP235,COURSE028,3
EMP195,COURSE015,37
EMP426,COURSE035,63
EMP084,COURSE015,91
EMP396,COURSE018,41
